run_id,environment,run_commit,autoscaler,storage,run_time_est
1774054752351,k8s,3aec178,a4s,ssd,2026-03-20 20:59:12 EDT
1774196172762,k8s,a8de0e9,a4s,ssd,2026-03-22 12:16:12 EDT
1774197275798,k8s,fbf8bee,a4s,ssd,2026-03-22 12:34:35 EDT
1774202463112,k8s,492fc24,justin,ssd,2026-03-22 14:01:03 EDT
1774215720955,k8s,2862042,a4s,ssd,2026-03-22 17:42:00 EDT
1774218524598,k8s,2b0ca80,ds2,ssd,2026-03-22 18:28:44 EDT
1774306498036,k8s,bcc0a82,a4s,ssd,2026-03-23 18:54:58 EDT
1774308309889,k8s,bcc0a82,ds2,ssd,2026-03-23 19:25:09 EDT
1774310118956,k8s,bcc0a82,justin,ssd,2026-03-23 19:55:18 EDT
1774352949693,k8s,ddd052c,a4s,ssd,2026-03-24 07:49:09 EDT
1774354759328,k8s,ddd052c,ds2,ssd,2026-03-24 08:19:19 EDT
1774356568640,k8s,ddd052c,justin,ssd,2026-03-24 08:49:28 EDT
1774362430144,k8s,ddd052c,a4s,ssd,2026-03-24 10:27:10 EDT
1774374359523,k8s,70c6acf,ds2,ssd,2026-03-24 13:45:59 EDT
