timestamp_epoch,source_throughput_records_per_sec,total_managed_memory_used_bytes,total_managed_memory_total_bytes,total_slots_used
1773977328,2865.1000000000004,166429984.0,1331439878.0,5.0
1773977333,2865.1000000000004,166429984.0,1331439878.0,5.0
1773977338,8385.4,166429984.0,1331439878.0,5.0
1773977343,8385.4,166429984.0,1331439878.0,5.0
1773977348,12666.366666666667,166429984.0,1331439878.0,5.0
1773977353,12666.366666666667,166429984.0,1331439878.0,5.0
1773977358,16147.716666666667,166429984.0,1331439878.0,5.0
1773977363,16147.716666666667,166429984.0,1331439878.0,5.0
1773977368,19821.583333333336,166429984.0,1331439878.0,5.0
1773977373,19821.583333333336,166429984.0,1331439878.0,5.0
1773977378,23082.066666666666,166429984.0,1331439878.0,5.0
1773977383,23082.066666666666,166429984.0,1331439878.0,5.0
1773977388,21835.850000000002,166429984.0,1331439878.0,5.0
1773977393,21835.850000000002,166429984.0,1331439878.0,5.0
1773977398,21921.516666666666,166429984.0,1331439878.0,5.0
1773977403,21921.516666666666,166429984.0,1331439878.0,5.0
1773977408,21101.95,166429984.0,1331439878.0,5.0
1773977413,21101.95,166429984.0,1331439878.0,5.0
1773977418,20866.166666666664,166429984.0,1331439878.0,5.0
1773977423,20866.166666666664,166429984.0,1331439878.0,5.0
1773977428,20895.466666666667,166429984.0,1331439878.0,5.0
1773977433,20895.466666666667,166429984.0,1331439878.0,5.0
1773977438,20716.133333333335,166429984.0,1331439878.0,5.0
1773977443,20321.31666666667,166429984.0,1331439878.0,5.0
1773977448,20451.833333333332,166429984.0,1331439878.0,5.0
1773977453,20754.583333333332,166429984.0,1331439878.0,5.0
1773977458,20628.133333333335,166429984.0,1331439878.0,5.0
1773977463,20348.499999999996,166429984.0,1331439878.0,5.0
1773977468,20358.949999999997,166429984.0,1331439878.0,5.0
1773977473,20393.516666666663,166429984.0,1331439878.0,5.0
1773977478,20295.533333333333,166429984.0,1331439878.0,5.0
1773977483,20083.1,166429984.0,1331439878.0,5.0
1773977488,20083.1,166429984.0,1331439878.0,5.0
1773977493,19617.73333333333,166429984.0,1331439878.0,5.0
1773977498,19617.73333333333,166429984.0,1331439878.0,8.0
