timestamp_epoch,source_throughput_records_per_sec,total_managed_memory_used_bytes,total_slots_used
1771965269,0.0,166429984.0,4.0
1771965274,0.0,166429984.0,4.0
1771965279,855.8166666666667,166429984.0,4.0
1771965284,855.8166666666667,166429984.0,4.0
1771965289,1717.7666666666667,166429984.0,4.0
1771965294,1717.7666666666667,166429984.0,4.0
1771965299,2409.9666666666667,166429984.0,4.0
1771965304,2409.9666666666667,166429984.0,4.0
1771965309,3424.9,166429984.0,4.0
1771965314,3424.9,166429984.0,4.0
1771965319,3424.9,166429984.0,4.0
1771965324,4218.316666666667,166429984.0,4.0
1771965329,4218.316666666667,166429984.0,4.0
1771965334,5121.733333333334,166429984.0,4.0
1771965339,5121.733333333334,166429984.0,4.0
1771965344,4910.866666666667,166429984.0,4.0
1771965349,4910.866666666667,166429984.0,4.0
1771965354,5238.85,166429984.0,4.0
1771965359,5238.85,166429984.0,4.0
1771965364,5399.3,166429984.0,4.0
1771965369,5399.3,166429984.0,4.0
1771965374,5298.2,166429984.0,4.0
1771965379,5298.2,166429984.0,4.0
1771965384,5149.066666666667,166429984.0,4.0
1771965389,5149.066666666667,166429984.0,4.0
1771965394,5149.066666666667,166429984.0,4.0
1771965399,4950.616666666667,166429984.0,4.0
1771965404,4950.616666666667,166429984.0,4.0
1771965409,4804.966666666666,166429984.0,4.0
1771965414,4804.966666666666,166429984.0,4.0
1771965419,4737.7,166429984.0,4.0
1771965424,4737.7,166429984.0,4.0
1771965429,4634.45,166429984.0,4.0
1771965434,4634.45,166429984.0,4.0
1771965439,4957.016666666666,166429984.0,4.0
1771965444,4957.016666666666,166429984.0,4.0
1771965449,4957.016666666666,166429984.0,4.0
1771965454,5242.883333333333,166429984.0,4.0
1771965459,0.0,166429984.0,4.0
1771965464,0.0,165675008.0,6.0
1771965469,0.0,165675008.0,6.0
1771965474,245.41666666666666,497025024.0,6.0
1771965479,245.41666666666666,497025024.0,6.0
1771965484,2560.616666666667,497025024.0,6.0
1771965489,2560.616666666667,497025024.0,6.0
1771965494,5669.75,497025024.0,6.0
1771965499,5669.75,497025024.0,6.0
1771965504,7857.85,497025024.0,6.0
1771965509,7857.85,497025024.0,6.0
1771965514,10016.833333333334,497025024.0,6.0
1771965519,10016.833333333334,497025024.0,6.0
1771965524,12218.616666666667,497025024.0,6.0
1771965529,12218.616666666667,497025024.0,6.0
1771965534,12877.3,497025024.0,6.0
1771965539,12877.3,497025024.0,6.0
1771965544,12877.3,497025024.0,6.0
1771965549,12440.916666666666,497025024.0,6.0
1771965554,12440.916666666666,497025024.0,6.0
1771965559,12570.216666666667,497025024.0,6.0
1771965564,12570.216666666667,497025024.0,6.0
1771965569,12790.5,497025024.0,6.0
1771965574,12790.5,497025024.0,6.0
1771965579,12632.566666666668,497025024.0,6.0
1771965584,12632.566666666668,497025024.0,6.0
1771965589,12322.083333333334,497025024.0,6.0
1771965594,12322.083333333334,497025024.0,6.0
1771965599,12291.483333333334,497025024.0,6.0
1771965604,12291.483333333334,497025024.0,6.0
1771965609,12327.966666666667,497025024.0,6.0
1771965614,12327.966666666667,497025024.0,6.0
1771965619,12364.233333333334,497025024.0,6.0
1771965624,12364.233333333334,497025024.0,6.0
1771965629,12364.233333333334,497025024.0,6.0
1771965634,11920.433333333332,497025024.0,6.0
1771965639,11920.433333333332,497025024.0,6.0
1771965644,12005.5,497025024.0,6.0
1771965649,12005.5,497025024.0,8.0
1771965654,12005.5,0.0,8.0
1771965659,12005.5,0.0,9.0
1771965664,0.0,828375040.0,9.0
1771965669,0.0,828375040.0,9.0
1771965674,3950.45,994050048.0,9.0
1771965679,3950.45,994050048.0,9.0
1771965684,8307.85,994050048.0,9.0
1771965689,8307.85,994050048.0,9.0
1771965694,11841.533333333333,994050048.0,9.0
1771965699,11841.533333333333,994050048.0,9.0
1771965704,15089.35,994050048.0,9.0
1771965709,15089.35,994050048.0,9.0
1771965714,18331.25,994050048.0,9.0
1771965719,18331.25,994050048.0,9.0
1771965724,22325.45,994050048.0,9.0
1771965729,22325.45,994050048.0,9.0
1771965734,21502.583333333332,994050048.0,9.0
1771965739,21502.583333333332,994050048.0,9.0
1771965744,21502.583333333332,994050048.0,9.0
1771965749,20782.15,994050048.0,9.0
1771965754,20782.15,994050048.0,9.0
1771965759,20386.5,994050048.0,9.0
1771965764,20386.5,994050048.0,9.0
1771965769,20927.733333333334,994050048.0,9.0
1771965774,20927.733333333334,994050048.0,9.0
1771965779,19510.533333333333,994050048.0,9.0
1771965784,19510.533333333333,994050048.0,9.0
1771965789,18160.233333333334,994050048.0,9.0
1771965794,18160.233333333334,994050048.0,9.0
1771965799,17071.85,994050048.0,9.0
1771965804,17071.85,994050048.0,9.0
1771965809,16646.15,994050048.0,9.0
1771965814,16646.15,994050048.0,9.0
1771965819,15825.25,994050048.0,9.0
1771965824,15825.25,994050048.0,9.0
1771965829,14304.466666666667,994050048.0,9.0
1771965834,14304.466666666667,994050048.0,9.0
1771965839,14705.9,994050048.0,9.0
1771965844,14705.9,994050048.0,9.0
1771965849,15545.35,994050048.0,9.0
1771965854,15545.35,994050048.0,9.0
1771965859,15545.35,994050048.0,9.0
1771965864,15666.916666666666,994050048.0,9.0
